Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
26,Finished Airing,Kyoto Animation,Genre: Comedy,PG-13 - Teens 13 or older,8.17,363,275,634230,13792,K-On!!,['HIDIVE']
26,Finished Airing,Madhouse,"Action, Adventure, Fantasy, Supernatural",R+ - Mild Nudity,7.75,976,276,624344,7943,Claymore,"['Crunchyroll', 'Funimation']"
12,Finished Airing,feel.,"Comedy, Romance",PG-13 - Teens 13 or older,8.38,180,277,624125,12849,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,['Crunchyroll']
26,Finished Airing,Shaft,"Comedy, Mystery, Romance, Supernatural",R - 17+ (violence & profanity),8.77,36,278,620890,22580,Monogatari Series: Second Season,"['Crunchyroll', 'Funimation']"
22,Finished Airing,Shaft,"Drama, Slice of Life",PG-13 - Teens 13 or older,8.39,170,279,618628,14474,3-gatsu no Lion,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Lerche,"Drama, Romance",R+ - Mild Nudity,7.17,3152,280,618348,6009,Kuzu no Honkai,"['HIDIVE', 'Netflix']"
12,Finished Airing,TNK,"Drama, Romance",R+ - Mild Nudity,5.54,10941,281,617914,3018,School Days,['Crunchyroll']
12,Finished Airing,Production IMS,"Action, Fantasy, Romance, Ecchi",R+ - Mild Nudity,6.72,5255,282,614040,1891,Shinmai Maou no Testament,"['Crunchyroll', 'Netflix']"
112,Finished Airing,Pierrot,"Action, Comedy, Supernatural",PG-13 - Teens 13 or older,8.45,138,283,613897,20394,Yuu☆Yuu☆Hakusho,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Seven Arcs,"Comedy, Romance",PG-13 - Teens 13 or older,7.91,695,284,609536,9054,Tonikaku Kawaii,['Crunchyroll']
12,Finished Airing,Kinema Citrus,Genre: Slice of Life,PG-13 - Teens 13 or older,8.39,171,285,608776,12147,Barakamon,['Funimation']
24,Finished Airing,Madhouse,"Comedy, Romance",PG-13 - Teens 13 or older,7.91,692,286,608557,4643,Ore Monogatari!!,"['Crunchyroll', 'HIDIVE']"
24,Finished Airing,Kyoto Animation,Genre: Comedy,PG-13 - Teens 13 or older,7.74,998,287,608101,11309,Lucky☆Star,['Funimation']
1,Finished Airing,CloverWorks,"Drama, Romance, Supernatural",PG-13 - Teens 13 or older,8.61,74,288,606291,9373,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['Netflix', 'Shahid']"
12,Finished Airing,A-1 Pictures,"Action, Comedy, Fantasy, Romance, Sci-Fi, Supernatural, Ecchi",PG-13 - Teens 13 or older,6.83,4696,289,606117,2135,Gakusen Toshi Asterisk,"['Crunchyroll', 'Funimation']"
11,Finished Airing,Tatsunoko Production,"Action, Sci-Fi, Suspense",R - 17+ (violence & profanity),7.4,2030,290,605516,1394,Psycho-Pass 2,['Crunchyroll']
12,Finished Airing,Bones,"Drama, Fantasy, Romance",PG-13 - Teens 13 or older,7.76,963,291,605062,6802,Akagami no Shirayuki-hime,"['Crunchyroll', 'Funimation']"
12,Finished Airing,SILVER LINK.,Genre: Comedy,PG-13 - Teens 13 or older,7.0,3980,292,604348,5085,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,['HIDIVE']
12,Finished Airing,A-1 Pictures,Genre: Comedy,PG-13 - Teens 13 or older,7.29,2544,293,603912,2892,Blend S,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Kyoto Animation,"Comedy, Drama, Fantasy",PG-13 - Teens 13 or older,7.47,1763,294,603140,2494,Amagi Brilliant Park,['HIDIVE']
13,Finished Airing,Zexcs,"Drama, Romance",PG-13 - Teens 13 or older,7.43,1931,295,603061,4586,Sukitte Ii na yo.,['HIDIVE']
13,Finished Airing,"Kinema Citrus, DR Movie","Action, Adventure, Drama, Fantasy",PG-13 - Teens 13 or older,6.56,6071,296,602747,12248,Tate no Yuusha no Nariagari Season 2,"['Crunchyroll', 'Funimation']"
13,Finished Airing,SILVER LINK.,"Comedy, Romance",PG-13 - Teens 13 or older,7.54,1542,297,600141,5496,Baka to Test to Shoukanjuu,"['Crunchyroll', 'Funimation']"
12,Finished Airing,A-1 Pictures,"Comedy, Romance, Ecchi",PG-13 - Teens 13 or older,7.49,1707,298,596892,4069,Saenai Heroine no Sodatekata,"['Crunchyroll', 'Funimation']"
24,Finished Airing,"SILVER LINK., Connect","Action, Fantasy, Supernatural, Ecchi",R+ - Mild Nudity,7.06,3694,299,596458,2198,Strike the Blood,"['Crunchyroll', 'Netflix']"
12,Finished Airing,8bit,"Action, Comedy, Sci-Fi, Ecchi",PG-13 - Teens 13 or older,6.65,5628,300,595707,2215,IS: Infinite Stratos,['HIDIVE']
