Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,Genre,Studio
12,Finished Airing,PG-13 - Teens 13 or older,7.56,1479,231,687673,2403,Sakamoto Desu ga?,Comedy,StudioDeen
20,Finished Airing,R - 17+ (violence & profanity),8.39,171,232,687093,11685,Fumetsu no Anata e,Adventure,Brain'sBase
20,Finished Airing,R - 17+ (violence & profanity),8.39,171,232,687093,11685,Fumetsu no Anata e,Drama,Brain'sBase
20,Finished Airing,R - 17+ (violence & profanity),8.39,171,232,687093,11685,Fumetsu no Anata e,Supernatural,Brain'sBase
12,Finished Airing,PG-13 - Teens 13 or older,7.36,2184,233,679005,1489,Ao no Exorcist: Kyoto Fujouou-hen,Action,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,7.36,2184,233,679005,1489,Ao no Exorcist: Kyoto Fujouou-hen,Fantasy,A-1Pictures
11,Finished Airing,R - 17+ (violence & profanity),8.15,372,234,678775,3780,Nisemonogatari,Comedy,Shaft
11,Finished Airing,R - 17+ (violence & profanity),8.15,372,234,678775,3780,Nisemonogatari,Mystery,Shaft
11,Finished Airing,R - 17+ (violence & profanity),8.15,372,234,678775,3780,Nisemonogatari,Supernatural,Shaft
11,Finished Airing,R - 17+ (violence & profanity),8.15,372,234,678775,3780,Nisemonogatari,Ecchi,Shaft
25,Finished Airing,PG-13 - Teens 13 or older,8.22,301,235,676258,12997,Fruits Basket 1st Season,Drama,TMSEntertainment
25,Finished Airing,PG-13 - Teens 13 or older,8.22,301,235,676258,12997,Fruits Basket 1st Season,Fantasy,TMSEntertainment
25,Finished Airing,PG-13 - Teens 13 or older,8.22,301,235,676258,12997,Fruits Basket 1st Season,Romance,TMSEntertainment
12,Finished Airing,R+ - Mild Nudity,7.0,3956,236,675125,3677,Monster Musume no Iru Nichijou,Comedy,Lerche
12,Finished Airing,R+ - Mild Nudity,7.0,3956,236,675125,3677,Monster Musume no Iru Nichijou,Fantasy,Lerche
12,Finished Airing,R+ - Mild Nudity,7.0,3956,236,675125,3677,Monster Musume no Iru Nichijou,Romance,Lerche
12,Finished Airing,R+ - Mild Nudity,7.0,3956,236,675125,3677,Monster Musume no Iru Nichijou,Ecchi,Lerche
25,Finished Airing,PG-13 - Teens 13 or older,8.31,233,237,670314,4806,Kuroko no Basket 3rd Season,Sports,ProductionI.G
12,Finished Airing,PG-13 - Teens 13 or older,7.55,1518,238,669921,2419,Chuunibyou demo Koi ga Shitai! Ren,Comedy,KyotoAnimation
12,Finished Airing,PG-13 - Teens 13 or older,7.55,1518,238,669921,2419,Chuunibyou demo Koi ga Shitai! Ren,Romance,KyotoAnimation
24,Finished Airing,PG-13 - Teens 13 or older,7.24,2770,239,669888,3802,Accel World,Action,Sunrise
24,Finished Airing,PG-13 - Teens 13 or older,7.24,2770,239,669888,3802,Accel World,Romance,Sunrise
24,Finished Airing,PG-13 - Teens 13 or older,7.24,2770,239,669888,3802,Accel World,Sci-Fi,Sunrise
12,Finished Airing,R - 17+ (violence & profanity),7.2,2997,240,669287,1840,Kakegurui××,Drama,MAPPA
12,Finished Airing,R - 17+ (violence & profanity),7.2,2997,240,669287,1840,Kakegurui××,Mystery,MAPPA
12,Finished Airing,PG-13 - Teens 13 or older,7.39,2100,241,668215,4673,Kiznaiver,Drama,Trigger
12,Finished Airing,PG-13 - Teens 13 or older,7.39,2100,241,668215,4673,Kiznaiver,Romance,Trigger
12,Finished Airing,PG-13 - Teens 13 or older,7.39,2100,241,668215,4673,Kiznaiver,Sci-Fi,Trigger
26,Finished Airing,PG-13 - Teens 13 or older,8.22,308,242,662925,13342,Trigun,Action,Madhouse
26,Finished Airing,PG-13 - Teens 13 or older,8.22,308,242,662925,13342,Trigun,Adventure,Madhouse
26,Finished Airing,PG-13 - Teens 13 or older,8.22,308,242,662925,13342,Trigun,Comedy,Madhouse
26,Finished Airing,PG-13 - Teens 13 or older,8.22,308,242,662925,13342,Trigun,Drama,Madhouse
26,Finished Airing,PG-13 - Teens 13 or older,8.22,308,242,662925,13342,Trigun,Sci-Fi,Madhouse
12,Finished Airing,PG-13 - Teens 13 or older,8.54,97,243,660321,5512,Haikyuu!! To the Top Part 2,Sports,ProductionI.G
12,Finished Airing,PG-13 - Teens 13 or older,8.03,530,244,658597,10624,"Komi-san wa, Comyushou desu.",Comedy,OLM
12,Finished Airing,PG-13 - Teens 13 or older,7.65,1220,245,654233,5566,Hai to Gensou no Grimgar,Action,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,7.65,1220,245,654233,5566,Hai to Gensou no Grimgar,Adventure,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,7.65,1220,245,654233,5566,Hai to Gensou no Grimgar,Drama,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,7.65,1220,245,654233,5566,Hai to Gensou no Grimgar,Fantasy,A-1Pictures
24,Finished Airing,R+ - Mild Nudity,8.32,221,246,654025,23550,NHK ni Youkoso!,Comedy,Gonzo
24,Finished Airing,R+ - Mild Nudity,8.32,221,246,654025,23550,NHK ni Youkoso!,Drama,Gonzo
24,Finished Airing,R+ - Mild Nudity,8.32,221,246,654025,23550,NHK ni Youkoso!,Romance,Gonzo
12,Finished Airing,PG-13 - Teens 13 or older,6.39,7043,247,651328,2648,Eromanga-sensei,Comedy,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,6.39,7043,247,651328,2648,Eromanga-sensei,Drama,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,6.39,7043,247,651328,2648,Eromanga-sensei,Romance,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,6.39,7043,247,651328,2648,Eromanga-sensei,Ecchi,A-1Pictures
13,Finished Airing,R - 17+ (violence & profanity),7.49,1718,248,650273,5497,Hellsing,Action,Gonzo
13,Finished Airing,R - 17+ (violence & profanity),7.49,1718,248,650273,5497,Hellsing,Horror,Gonzo
13,Finished Airing,R - 17+ (violence & profanity),7.49,1718,248,650273,5497,Hellsing,Supernatural,Gonzo
1,Finished Airing,R+ - Mild Nudity,7.57,1433,249,649744,3370,Sword Art Online Movie: Ordinal Scale,Action,A-1Pictures
1,Finished Airing,R+ - Mild Nudity,7.57,1433,249,649744,3370,Sword Art Online Movie: Ordinal Scale,Adventure,A-1Pictures
1,Finished Airing,R+ - Mild Nudity,7.57,1433,249,649744,3370,Sword Art Online Movie: Ordinal Scale,Fantasy,A-1Pictures
12,Finished Airing,PG-13 - Teens 13 or older,7.38,2116,250,648092,8166,"Ijiranaide, Nagatoro-san",Comedy,TelecomAnimationFilm
1,Finished Airing,PG-13 - Teens 13 or older,7.58,1390,251,648110,1321,Boku no Hero Academia the Movie 1: Futari no Hero,Action,Bones
12,Finished Airing,PG-13 - Teens 13 or older,8.43,148,252,646063,16325,Grand Blue,Comedy,Zero-G
4,Finished Airing,PG-13 - Teens 13 or older,7.0,3958,253,644739,761,Nanatsu no Taizai: Seisen no Shirushi,Action,A-1Pictures
4,Finished Airing,PG-13 - Teens 13 or older,7.0,3958,253,644739,761,Nanatsu no Taizai: Seisen no Shirushi,Adventure,A-1Pictures
4,Finished Airing,PG-13 - Teens 13 or older,7.0,3958,253,644739,761,Nanatsu no Taizai: Seisen no Shirushi,Fantasy,A-1Pictures
1,Finished Airing,PG-13 - Teens 13 or older,8.47,127,254,644437,4335,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Adventure,J.C.Staff
1,Finished Airing,PG-13 - Teens 13 or older,8.47,127,254,644437,4335,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Comedy,J.C.Staff
1,Finished Airing,PG-13 - Teens 13 or older,8.47,127,254,644437,4335,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Fantasy,J.C.Staff
