Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP,Genre,Studio
12,Finished Airing,PG-13 - Teens 13 or older,8.78,35,122,997499,32290,Spy x Family,"['netflix', 'animax mongolia']","['action', 'comedy']","['witstudio', 'cloverworks']"
24,Finished Airing,R - 17+ (violence & profanity),8.09,452,123,996459,23546,Tokyo Revengers,"['crunchyroll', 'netflix']","['action', 'drama', 'supernatural']",['lidenfilms']
12,Finished Airing,PG-13 - Teens 13 or older,7.86,778,124,996694,15133,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,"['crunchyroll', 'funimation']",['genre:drama'],['lerche']
10,Finished Airing,R+ - Mild Nudity,7.77,934,125,994656,21216,Devilman: Crybaby,['netflix'],"['action', 'avantgarde', 'horror', 'supernatural']",['sciencesaru']
11,Finished Airing,R - 17+ (violence & profanity),8.37,182,126,993912,24287,Mushoku Tensei: Isekai Ittara Honki Dasu,"['crunchyroll', 'funimation']","['drama', 'fantasy', 'ecchi']",['studiobind']
13,Finished Airing,PG-13 - Teens 13 or older,7.49,1712,127,979949,5771,Tonari no Kaibutsu-kun,"['crunchyroll', 'netflix']","['comedy', 'romance']","[""brain'sbase""]"
11,Finished Airing,R - 17+ (violence & profanity),8.85,23,128,976480,21189,Kimetsu no Yaiba: Yuukaku-hen,"['crunchyroll', 'funimation']","['action', 'fantasy']",['ufotable']
12,Finished Airing,R - 17+ (violence & profanity),7.42,1974,129,969975,6403,Goblin Slayer,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy']",['whitefox']
12,Finished Airing,R - 17+ (violence & profanity),8.19,348,130,967766,15418,Fate/stay night: Unlimited Blade Works,"['crunchyroll', 'funimation']","['action', 'fantasy', 'supernatural']",['ufotable']
39,Finished Airing,R - 17+ (violence & profanity),8.5,116,131,967241,35623,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"['crunchyroll', 'netflix']","['action', 'adventure', 'comedy', 'drama', 'supernatural']",['davidproduction']
13,Finished Airing,PG-13 - Teens 13 or older,7.85,795,132,966243,22221,K-On!,"['crunchyroll', 'hidive']",['genre:comedy'],['kyotoanimation']
26,Finished Airing,PG-13 - Teens 13 or older,7.43,1921,133,965339,10627,Mahouka Koukou no Rettousei,"['crunchyroll', 'funimation']","['action', 'romance', 'sci-fi', 'supernatural']",['madhouse']
