Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
26,Finished Airing,Shaft,"Comedy, Mystery, Romance, Supernatural",R - 17+ (violence & profanity),8.77,36,278,"620,890","22,580",Monogatari Series: Second Season,"['Crunchyroll', 'Funimation']"
22,Finished Airing,Shaft,"Drama, Slice of Life",PG-13 - Teens 13 or older,8.39,170,279,"618,628","14,474",3-gatsu no Lion,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Lerche,"Drama, Romance",R+ - Mild Nudity,7.17,3152,280,"618,348","6,009",Kuzu no Honkai,"['HIDIVE', 'Netflix']"
12,Finished Airing,TNK,"Drama, Romance",R+ - Mild Nudity,5.54,10941,281,"617,914","3,018",School Days,['Crunchyroll']
12,Finished Airing,Production IMS,"Action, Fantasy, Romance, Ecchi",R+ - Mild Nudity,6.72,5255,282,"614,040","1,891",Shinmai Maou no Testament,"['Crunchyroll', 'Netflix']"
112,Finished Airing,Pierrot,"Action, Comedy, Supernatural",PG-13 - Teens 13 or older,8.45,138,283,"613,897","20,394",Yuu☆Yuu☆Hakusho,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Seven Arcs,"Comedy, Romance",PG-13 - Teens 13 or older,7.91,695,284,"609,536","9,054",Tonikaku Kawaii,['Crunchyroll']
12,Finished Airing,Kinema Citrus,Genre: Slice of Life,PG-13 - Teens 13 or older,8.39,171,285,"608,776","12,147",Barakamon,['Funimation']
24,Finished Airing,Madhouse,"Comedy, Romance",PG-13 - Teens 13 or older,7.91,692,286,"608,557","4,643",Ore Monogatari!!,"['Crunchyroll', 'HIDIVE']"
24,Finished Airing,Kyoto Animation,Genre: Comedy,PG-13 - Teens 13 or older,7.74,998,287,"608,101","11,309",Lucky☆Star,['Funimation']
1,Finished Airing,CloverWorks,"Drama, Romance, Supernatural",PG-13 - Teens 13 or older,8.61,74,288,"606,291","9,373",Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['Netflix', 'Shahid']"
12,Finished Airing,A-1 Pictures,"Action, Comedy, Fantasy, Romance, Sci-Fi, Supernatural, Ecchi",PG-13 - Teens 13 or older,6.83,4696,289,"606,117","2,135",Gakusen Toshi Asterisk,"['Crunchyroll', 'Funimation']"
11,Finished Airing,Tatsunoko Production,"Action, Sci-Fi, Suspense",R - 17+ (violence & profanity),7.40,2030,290,"605,516","1,394",Psycho-Pass 2,['Crunchyroll']
12,Finished Airing,Bones,"Drama, Fantasy, Romance",PG-13 - Teens 13 or older,7.76,963,291,"605,062","6,802",Akagami no Shirayuki-hime,"['Crunchyroll', 'Funimation']"
12,Finished Airing,SILVER LINK.,Genre: Comedy,PG-13 - Teens 13 or older,7.00,3980,292,"604,348","5,085",Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,['HIDIVE']
12,Finished Airing,A-1 Pictures,Genre: Comedy,PG-13 - Teens 13 or older,7.29,2544,293,"603,912","2,892",Blend S,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Kyoto Animation,"Comedy, Drama, Fantasy",PG-13 - Teens 13 or older,7.47,1763,294,"603,140","2,494",Amagi Brilliant Park,['HIDIVE']
13,Finished Airing,Zexcs,"Drama, Romance",PG-13 - Teens 13 or older,7.43,1931,295,"603,061","4,586",Sukitte Ii na yo.,['HIDIVE']
13,Finished Airing,"Kinema Citrus, DR Movie","Action, Adventure, Drama, Fantasy",PG-13 - Teens 13 or older,6.56,6071,296,"602,747","12,248",Tate no Yuusha no Nariagari Season 2,"['Crunchyroll', 'Funimation']"
13,Finished Airing,SILVER LINK.,"Comedy, Romance",PG-13 - Teens 13 or older,7.54,1542,297,"600,141","5,496",Baka to Test to Shoukanjuu,"['Crunchyroll', 'Funimation']"
12,Finished Airing,A-1 Pictures,"Comedy, Romance, Ecchi",PG-13 - Teens 13 or older,7.49,1707,298,"596,892","4,069",Saenai Heroine no Sodatekata,"['Crunchyroll', 'Funimation']"
24,Finished Airing,"SILVER LINK., Connect","Action, Fantasy, Supernatural, Ecchi",R+ - Mild Nudity,7.06,3694,299,"596,458","2,198",Strike the Blood,"['Crunchyroll', 'Netflix']"
12,Finished Airing,8bit,"Action, Comedy, Sci-Fi, Ecchi",PG-13 - Teens 13 or older,6.65,5628,300,"595,707","2,215",IS: Infinite Stratos,['HIDIVE']
