,anime_stat
155,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze/stats
156,https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation/stats
157,https://myanimelist.net/anime/1689/Byousoku_5_Centimeter/stats
158,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu/stats
159,https://myanimelist.net/anime/20787/Black_Bullet/stats
160,https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun/stats
161,https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars/stats
162,https://myanimelist.net/anime/27775/Plastic_Memories/stats
163,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry/stats
164,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii/stats
165,https://myanimelist.net/anime/2251/Baccano/stats
166,https://myanimelist.net/anime/15451/High_School_DxD_New/stats
167,https://myanimelist.net/anime/777/Hellsing_Ultimate/stats
168,https://myanimelist.net/anime/40839/Kanojo_Okarishimasu/stats
169,https://myanimelist.net/anime/38826/Tenki_no_Ko/stats
170,https://myanimelist.net/anime/21995/Ao_Haru_Ride/stats
171,https://myanimelist.net/anime/6045/Kimi_ni_Todoke/stats
172,https://myanimelist.net/anime/39617/Yakusoku_no_Neverland_2nd_Season/stats
173,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion/stats
174,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome/stats
175,https://myanimelist.net/anime/10165/Nichijou/stats
176,https://myanimelist.net/anime/32615/Youjo_Senki/stats
177,https://myanimelist.net/anime/32995/Yuri_on_Ice/stats
178,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome/stats
179,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai/stats
180,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top/stats
181,https://myanimelist.net/anime/14345/Btooom/stats
182,https://myanimelist.net/anime/40221/Kami_no_Tou/stats
183,https://myanimelist.net/anime/24439/Kekkai_Sensen/stats
184,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero/stats
185,https://myanimelist.net/anime/41353/The_God_of_High_School/stats
186,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season/stats
187,https://myanimelist.net/anime/30484/Steins_Gate_0/stats
188,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic/stats
189,https://myanimelist.net/anime/37675/Overlord_III/stats
190,https://myanimelist.net/anime/11887/Kokoro_Connect/stats
191,https://myanimelist.net/anime/16782/Kotonoha_no_Niwa/stats
192,https://myanimelist.net/anime/16894/Kuroko_no_Basket_2nd_Season/stats
193,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations/stats
